group_id,main_title_guess,main_file_count,supplement_file_count,total_file_count,primary_file,main_files,supplement_files
051,051_mdwrky126_malate_mdmdh5_001_MdWRKY126 modulates malate accumulation in apple fruit by regulating cytosolic malate dehydrogenase MdMDH5,1,0,1,051_mdwrky126_malate_mdmdh5_001_MdWRKY126 modulates malate accumulation in apple fruit by regulating cytosolic malate dehydrogenase MdMDH5.pdf,051_mdwrky126_malate_mdmdh5_001_MdWRKY126 modulates malate accumulation in apple fruit by regulating cytosolic malate dehydrogenase MdMDH5.pdf,
052,052_malate_metabolism_horticultural_crops_001_Malate metabolism in horticultural crops mechanistic insights and agricultural practices,1,0,1,052_malate_metabolism_horticultural_crops_001_Malate metabolism in horticultural crops mechanistic insights and agricultural practices.pdf,052_malate_metabolism_horticultural_crops_001_Malate metabolism in horticultural crops mechanistic insights and agricultural practices.pdf,
053,053_genomic_prediction_gwas_apple_fruit_quality_001_Genomic prediction and GWAS using combined genotypic data for apple fruit quality traits,1,0,1,053_genomic_prediction_gwas_apple_fruit_quality_001_Genomic prediction and GWAS using combined genotypic data for apple fruit quality traits.pdf,053_genomic_prediction_gwas_apple_fruit_quality_001_Genomic prediction and GWAS using combined genotypic data for apple fruit quality traits.pdf,
054,054_ethylene_mdmapk3_mdnac72_softening_001_Ethylene enhances MdMAPK3-mediated phosphorylation of MdNAC72 to promote apple fruit softening,1,0,1,054_ethylene_mdmapk3_mdnac72_softening_001_Ethylene enhances MdMAPK3-mediated phosphorylation of MdNAC72 to promote apple fruit softening.pdf,054_ethylene_mdmapk3_mdnac72_softening_001_Ethylene enhances MdMAPK3-mediated phosphorylation of MdNAC72 to promote apple fruit softening.pdf,
055,055_mdsweet9b_aba_apple_sugar_001_Abscisic acid and regulation of the sugar transporter gene MdSWEET9b promote apple sugar accumulation,1,0,1,055_mdsweet9b_aba_apple_sugar_001_Abscisic acid and regulation of the sugar transporter gene MdSWEET9b promote apple sugar accumulation.pdf,055_mdsweet9b_aba_apple_sugar_001_Abscisic acid and regulation of the sugar transporter gene MdSWEET9b promote apple sugar accumulation.pdf,
056,056_sugar_acid_genetic_regulatory_networks_001_Characterization of the genetic and regulatory networks associated with sugar and acid metabolism in apples via an integrated strategy,1,0,1,056_sugar_acid_genetic_regulatory_networks_001_Characterization of the genetic and regulatory networks associated with sugar and acid metabolism in apples via an integrated strategy.pdf,056_sugar_acid_genetic_regulatory_networks_001_Characterization of the genetic and regulatory networks associated with sugar and acid metabolism in apples via an integrated strategy.pdf,
057,057_transcriptional_landscape_sugar_acid_apple_001_Transcriptional landscape and dynamics involved in sugar and acid accumulation during apple fruit development,1,0,1,057_transcriptional_landscape_sugar_acid_apple_001_Transcriptional landscape and dynamics involved in sugar and acid accumulation during apple fruit development.pdf,057_transcriptional_landscape_sugar_acid_apple_001_Transcriptional landscape and dynamics involved in sugar and acid accumulation during apple fruit development.pdf,
058,058_mdcibhlh1_sugar_metabolism_apple_001_MdCIbHLH1 modulates sugar metabolism and accumulation in apple fruits by coordinating carbohydrate synthesis and allocation,1,0,1,058_mdcibhlh1_sugar_metabolism_apple_001_MdCIbHLH1 modulates sugar metabolism and accumulation in apple fruits by coordinating carbohydrate synthesis and allocation.pdf,058_mdcibhlh1_sugar_metabolism_apple_001_MdCIbHLH1 modulates sugar metabolism and accumulation in apple fruits by coordinating carbohydrate synthesis and allocation.pdf,
059,059_genomewide_selection_fruit_quality_apple_001_Genomewide selection for fruit quality traits in apple breeding insights gained from prediction and postdiction,1,0,1,059_genomewide_selection_fruit_quality_apple_001_Genomewide selection for fruit quality traits in apple breeding insights gained from prediction and postdiction.pdf,059_genomewide_selection_fruit_quality_apple_001_Genomewide selection for fruit quality traits in apple breeding insights gained from prediction and postdiction.pdf,
060,060_mdbpm2_mdnac83_storability_001_Natural variations in MdBPM2-MdRGLG3-MdNAC83 network controlling the quantitative segregation of apple fruit storability,1,0,1,060_mdbpm2_mdnac83_storability_001_Natural variations in MdBPM2-MdRGLG3-MdNAC83 network controlling the quantitative segregation of apple fruit storability.pdf,060_mdbpm2_mdnac83_storability_001_Natural variations in MdBPM2-MdRGLG3-MdNAC83 network controlling the quantitative segregation of apple fruit storability.pdf,
062,062_mdbhlh25_mdwdr5a_qtl_firmness_crispness_001_A single QTL harboring multiple genetic variations leads to complicated phenotypic segregation in apple flesh firmness and crispness,1,0,1,062_mdbhlh25_mdwdr5a_qtl_firmness_crispness_001_A single QTL harboring multiple genetic variations leads to complicated phenotypic segregation in apple flesh firmness and crispness.pdf,062_mdbhlh25_mdwdr5a_qtl_firmness_crispness_001_A single QTL harboring multiple genetic variations leads to complicated phenotypic segregation in apple flesh firmness and crispness.pdf,
063,063_genetic_architecture_genomic_prediction_001_Genetic architecture and genomic predictive ability of apple quantitative traits across environments,1,0,1,063_genetic_architecture_genomic_prediction_001_Genetic architecture and genomic predictive ability of apple quantitative traits across environments.pdf,063_genetic_architecture_genomic_prediction_001_Genetic architecture and genomic predictive ability of apple quantitative traits across environments.pdf,
064,064_mdese3_fruit_acidity_malic_acid_001_Transcriptional factor MdESE3 controls fruit acidity by activating genes regulating malic acid content in apple,1,0,1,064_mdese3_fruit_acidity_malic_acid_001_Transcriptional factor MdESE3 controls fruit acidity by activating genes regulating malic acid content in apple.pdf,064_mdese3_fruit_acidity_malic_acid_001_Transcriptional factor MdESE3 controls fruit acidity by activating genes regulating malic acid content in apple.pdf,
065,065_mdma7_mdh_promoter_malic_acid_001_An insertion in the promoter of a malate dehydrogenase gene regulates malic acid content in apple fruit,1,0,1,065_mdma7_mdh_promoter_malic_acid_001_An insertion in the promoter of a malate dehydrogenase gene regulates malic acid content in apple fruit.pdf,065_mdma7_mdh_promoter_malic_acid_001_An insertion in the promoter of a malate dehydrogenase gene regulates malic acid content in apple fruit.pdf,
066,066_pan_genome_malus_evolution_diversity_001_Pan-genome analysis reveals the evolution and diversity of Malus,1,0,1,066_pan_genome_malus_evolution_diversity_001_Pan-genome analysis reveals the evolution and diversity of Malus.pdf,066_pan_genome_malus_evolution_diversity_001_Pan-genome analysis reveals the evolution and diversity of Malus.pdf,
